"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Keuchel, Dallas","572971","89.5","90","85.4","79.8","79.6",,,,,
"Archer, Chris","502042","95.8",,,"88.4","86.5",,,,,
"Arrieta, Jake","453562","95.1","95.3",,"90.8","89.5","81.2",,,,
"Kershaw, Clayton","477132","94.3","94.2",,"88.6","88.3","74",,,,
"Price, David","456034","94.6","94.8","89.7",,"85.8","80.2",,,,
"Scherzer, Max","453286","94.8",,"89.9","86.6","85.4","80.1",,,,
"Quintana, Jose","500779","91.9","92.1",,,"86.3","80.3",,,,
"Samardzija, Jeff","502188","94.5","94.5","92.1","86.2",,"83.2","85.7",,,
"Hamels, Cole","430935","92.9","93.2","89.1",,"84.9","78.8",,,,
"Sale, Chris","519242",,"95.2",,"79.4","86.3",,,,,
"Shields, James","448306","91.7","91.4","86.5",,"84.9","78.7",,,,
"Bumgarner, Madison","518516","92.7","92.5","86.8","86.5","85.5","76.9",,,,
"Volquez, Edinson","450172","94.4","94.3",,,"85.2","81",,,,
"Kluber, Corey","446372","93.2","93.5",,"88.9","85.6","83.3",,,,
"Teheran, Julio","527054","92.1","91.1",,"81.2","83.3","72.4",,,,
"Cueto, Johnny","456501","93.3","93.2","88.6","83.6","84","75.4",,,,
"Richards, Garrett","572070","96.4","96.1","95.8","87.9","93.2","79.9",,,,
"Cole, Gerrit","543037","96.3","96.2",,"87.7","88.8","82.2",,,,
"McHugh, Collin","543521","91","91.1","87.4",,"82.8","73.3",,,,
"Greinke, Zack","425844","92.4","91.8",,"87.4","88.7","74.2",,,,
"Gallardo, Yovani","451596","91.2","91.1","93.1","87.8","85.7","79.2",,,,
"Miller, Shelby","571946","94.9","94.5","87.7",,"87","78.6",,,,
"Ross, Tyson","475115","93.6","93.5","92.1","87.2","89.4",,,,,
"Gibson, Kyle","502043","92.6","92.2",,"85.6","84.3","81.3",,,,
"Miley, Wade","489119","91.4","91.3",,"85.1","83.6","77.5",,,,
"Lester, Jon","452657","92.6","91.5","88.5",,"85.1","75.5",,,,
"Dickey, R.A.","285079","82.3",,,,,,,"76.7",,
"Lewis, Colby","407890","88.6","88.1",,"83.1","83.8","77.3",,,,
"Santiago, Héctor","502327",,"90.9","86.6","79.4","83.5","73.4",,,,
"Lackey, John","407793","92.2","92.2","83.9",,"84.3","78.6",,,,
"Cashner, Andrew","488768","95.5","95.3",,"85.7","86.3","80.3",,,,
"Zimmermann, Jordan","519455","93.6","94.1",,"88.2","88.7","81",,,,
"Gray, Sonny","543243","93.7","93.5","90.8","86.6","88.1","81.9",,,,
"Jiménez, Ubaldo","434622","91.3","90.8","90.2","83.8",,"75.9","84.7",,,
"Salazar, Danny","517593","95.6","95",,"85.5","86.1","80",,,,
"Hernández, Félix","433587","92.6","92.1",,"85","88.5","80.7",,,,
"Lynn, Lance","458681","92.8","91.5",,"87","84.9","78.1",,,,
"Fiers, Mike","571666","89.9",,"84.6","77.7","83.5","72.9",,,,
"Simon, Alfredo","430580","93.5","93.5","88.9","83.9","86.1","77.3","85.2",,,
"Chen, Wei-Yin","612672","92.2","91.3",,"83.8","83.4","73.9",,,,
"De La Rosa, Rubby","523989","95.1","94.2",,"85.9","87","79.5",,,,
"Liriano, Francisco","434538","92.7","93.1",,"85.5","85","72.8",,,,
"deGrom, Jacob","594798","95.6","95.3",,"90.2","86","82.3",,,,
"Koehler, Tom","543408","92.6","93",,"86.1","85.1","79.4",,,,
"Kazmir, Scott","431148","92.5","91.8","87.2","81.5","76.4","76.8",,,,
"Tillman, Chris","501957","92.1",,"91","86.3","83.3","75.7",,,,
"Gonzalez, Gio","461829","92.8","92.4",,,"84.5","78.7",,,,
"Wacha, Michael","608379","94.8",,"89.8",,"87.1","76.4",,,,
"Danks, John","433579","90","90","86.5","80.3","81.5","76.2",,,,
"Estrada, Marco","462136","89.8",,"88.6",,"79.1","77.8",,,,
"Haren, Dan","429717","86.6","85.9","83.9",,,"76.8","81.7",,,
"Wood, Alex","622072",,"89.7",,,"83.6","80.8",,,,
"Kennedy, Ian","453178","91.9","92.4",,"85.6","83.9","77.7",,,,
"DeSclafani, Anthony","543101","93.4","92.8",,"87.6","86.3","79.7",,,,
"Bauer, Trevor","545333","93.5","93.7","85.1","84.1","85.8","78",,,,
"Harang, Aaron","421685","89.6","89.9",,"81.7","84.1","74.2",,,,
"Martinez, Carlos","593372","96.4","95.5",,,"87.4","85.7",,,,
"Happ, J.A.","457918","92.6","91.3",,"84.9","85.6","78.9",,,,
"Buehrle, Mark","279824","84.5","83.5","79.9",,"78.7","71.7",,,,
"Hendricks, Kyle","543294","90.9","88.8","88.3",,"80.7","78.3",,,,
"Nelson, Jimmy","519076","94","94.1",,"87.5","86","83.1",,,,
"Harvey, Matt","518774","96.5","96.6",,"90.1","89","84.3",,,,
"Heston, Chris","518790","90.2","89.5",,"77","82.6","74.6",,,,
"Carrasco, Carlos","471911","95.3","95",,"88.4","89","83.8",,,,
"Locke, Jeff","502046","92","91.9",,,"81.7","80",,,,
"Odorizzi, Jake","543606","91.9","92","86.7","82.9",,"71.8","85.6",,,
"Porcello, Rick","519144","92.1","91.1",,"87.1","82.8","75.5",,,,
"Leake, Mike","502190","90.9","91.5","90.3","81.7","86.1","80.4",,,,
"Hammel, Jason","434628","92.8","92.8",,"84.9","85.6","77.1",,,,
"Anderson, Brett","474463","91.5","91",,"82.5","83.9","76.3",,,,
"Sabathia, CC","282332","90.8","89.8","90.2","79.6","83.9",,,,,
"Colon, Bartolo","112526","90.9","87.8",,"82.8","82.6","81.5",,,,
"Niese, Jonathon","477003","89.6","89.5","87.6","80.6","83.3","74.9",,,,
"Pelfrey, Mike","460059","93.6","93.9",,"84.3",,"73.5","81.3",,,
"Ventura, Yordano","570649","97.2","96.8","92.4",,"87.9","84.6",,,,
"Eovaldi, Nathan","543135","97.4","98",,"84.9","85.4","75.9","90",,,
"Walker, Taijuan","592836","94.8","95.8","90.1",,,"74.7","89.4",,,
"Chavez, Jesse","445926","91.9","91.8","89.7","83.3","84.7","76.1",,,,
"Pineda, Michael","501381","93.4","94.4","93.3","86.1","88.8","73.6",,,,
"Lohse, Kyle","346798","89.8","89.9",,"84.7","79.8","75.3",,,,
"Sánchez, Aníbal","434671","92.4","92.7","91.7","87.1","74.1","78.3","86.3",,,
"Hutchison, Drew","571800","93","92.3",,"84.9","86.2","81.9",,,,
"Burnett, A.J.","150359","91.7","91.5",,,"86.3","82.3",,,,
"Hellickson, Jeremy","476451","90.7","90.6","87.7","89.2","80.8","77.6",,,,
"Guthrie, Jeremy","425386","92.6","92.1","89.7","86.3","85.6","77.9",,,,
"Anderson, Chase","502624","92.2","91.8","89",,"82.1","77.3",,,,
"De La Rosa, Jorge","407822","92.1","92","87.7","86.2","82.9","73.5","82.7",,,
"Rodón, Carlos","607074","94.2","93.7",,"87.8","85.1",,,,,
"González, Miguel","456068","91.7","91.7",,"85.2","84.5","77.1",,,,
"Weaver, Jered","450308","84.1","83.5","83.8","76.4","75.4","67.9",,,,
"Ramírez, Erasmo","541640","91.5","91.4",,"84.6","81.4","78.2",,,,
"Karns, Nate","501992","92.2",,,,"85.7","81.2",,,,
"Garza, Matt","490063","93.3","93.1",,"85.7","85.6","74.5",,,,
"Kelly, Joe","523260","96.2","96",,"86.3","85.5","80.1",,,,
"Syndergaard, Noah","592789","97.7","97.7",,"87.9","88.8","81.2",,,,
"Duffy, Danny","518633","94.5","94.2","89.7",,"85.6","81.3",,,,
"Vogelsong, Ryan","285064","91.6","91.6",,"88.5","84","77",,,,
"Tanaka, Masahiro","547888","92.7","91.8","89.6","84.2",,"77","88.1",,,
"Hughes, Phil","461833","91.3","91.1","88.2","87","85.9","76.9",,,,
"Ray, Robbie","592662","94.1","93.5",,"83.1","84.5","52.2",,,,
"Kendrick, Kyle","452718",,"89.5","87.2","79.1","82.1",,,,,
"Warren, Adam","476589","93.4","92.7","91.8","87.7","84.9","79.9",,,,
"Verlander, Justin","434378","93.4",,,"86.3","84.8","79.9",,,,
